mysql> select ip,count(*),uuid from hunan_report.t_client_ips where ip in (2016928627,2016923499,2016928192,2016922205,2016931240) group by uuid;
+------------+----------+------------------------------+
| ip         | count(*) | uuid                         |
| 2016922205 |        1 | oKfGnswOD04oEQlY_0NvtU8zqkP0 |
| 2016928627 |        2 | oKfGnswVU17VsBLG6D6NAue1jPpQ |
| 2016922205 |        1 | oKfGnswW9sHDnL8EOjuBRuD_Q8jk |
| 2016922205 |       12 | oKfGnswxrQZ5-m8SZmSE8IKX14LM |
| 2016922205 |        2 | oKfGnsx-pvLQRc45HfAZEywXmhHw |
| 2016922205 |        2 | oKfGnsx1r380ZZWVvcM4Fu6dFu2Y |
| 2016928627 |        4 | oKfGnsx4U722C_zumEhHFYDDpvKg |
| 2016922205 |        4 | oKfGnsxelwiBIc53wn1Ixbz9P3uo |
| 2016922205 |        2 | oKfGnsxTFa0ugI5SWmLTg8U-vQpA |
| 2016922205 |        2 | oKfGnsxu88IjAoCvdfZuSc5xwSKo |
| 2016922205 |        2 | oKfGnsxURLJuJV4u7QjwfbfYHSOQ |
| 2016928627 |        2 | oKfGnsxXlVpke1L9rWRqM2g7EGGs |
| 2016922205 |        1 | oKfGnsy3DeuzjDY1UiyWtzFgWLY8 |
| 2016922205 |        2 | oKfGnsykGM7yeateJZkYdZqD7bEM |
| 2016922205 |        2 | oKfGnsylQpXHfNvAFPAaq5jsgemM |
| 2016928627 |        2 | oKfGnsyUNhKg66afLdzt_k-VaL9o |
| 2016922205 |        4 | oKfGnsywGnqcSl3x3IxJE-DduAFE |
| 2016922205 |        2 | oKfGnsyx8cyM_q-tdRpSmdEUM5-s |
| 2016922205 |        2 | oKfGnsyyKHYI59KBz2uGOuAy044U |
| 2016922205 |        2 | oKfGnsyYo3Nik8112SxdTs8NnTqI |
| 2016922205 |        1 | oKfGnsz3XeO1_BikdPqq6GlLxXCg |
| 2016922205 |        2 | oKfGnsza5gTzMtXbizbxC6MTAylc |
| 2016922205 |        2 | oKfGnszdo06eF4-7IUO0PMAhXYCk |
| 2016928627 |        4 | oKfGnszFJhrGDFZ7Tau9XMUQyhJ4 |
| 2016922205 |        1 | oKfGnszFwUirWGC8VnP6hvpBjf0o |
| 2016922205 |        4 | oKfGnszlNqa9vaTONSgFPsc3KttQ |
| 2016922205 |        2 | oKfGnszTTzNWd8njS1hcIVtHwCHo |
| 2016922205 |        2 | oKfGns_ICwlm7A4NYYC0QdDmCAXg |
| 2016922205 |        8 | oKfGns_S5acbJQxmNHA089HnMMlc |
| 2016922205 |        2 | oKfGns_WxzNfV-THzpoHg0s17hr0 |
| 2016922205 |       14 | oKfGns_xJuJnKTbvaeGVFRBb_SZ0 |
+------------+----------+------------------------------+
131 rows in set (2.80 sec)
